WINTER_YEAR,days_below_zero,days_below_zero_rolling
1989,5,
1990,22,
1991,10,15.8
1992,19,16.2
1993,23,23.4
1994,7,26.4
1995,58,24.8
1996,25,25.6
1997,11,25.8
1998,27,17.6
1999,8,15.4
2000,17,20.4
2001,14,17.8
2002,36,18.6
2003,14,21.0
2004,12,18.6
2005,29,13.2
2006,2,15.0
2007,9,21.2
2008,23,23.8
2009,43,27.2
2010,42,32.8
2011,19,30.4
2012,37,23.8
2013,11,17.6
2014,10,17.4
2015,11,11.6
2016,18,10.4
2017,8,8.4
2018,5,8.6
2019,0,6.2
2020,12,7.4
2021,6,9.0
2022,14,10.0
2023,13,7.8
2024,5,
2025,1,
