WINTER_YEAR,first_freeze,last_freeze,first_snow,last_snow,snow_frame,freeze_frame
1989,1990-01-01,1990-01-07,1990-01-02,1990-03-03,61,7
1990,1990-12-01,1991-02-17,1990-12-11,1991-04-20,131,79
1991,1991-12-10,1992-02-18,1992-01-20,1992-03-30,71,71
1992,1992-12-23,1993-03-03,1992-12-30,1993-03-06,67,71
1993,1993-11-18,1994-02-24,1993-11-20,1994-03-18,119,99
1994,1994-12-24,1995-01-08,1995-01-02,1995-03-30,88,16
1995,1995-11-30,1996-03-13,1995-11-04,1996-04-13,162,105
1996,1996-12-09,1997-01-12,1996-11-28,1997-03-21,114,35
1997,1997-11-23,1998-02-02,1997-12-03,1998-02-05,65,72
1998,1998-11-19,1999-02-14,1998-11-20,1999-02-26,99,88
1999,1999-12-16,2000-01-25,1999-11-18,2000-03-17,121,41
2000,2000-12-21,2001-02-24,2000-12-25,2001-03-28,94,66
2001,2001-12-03,2002-01-16,2001-11-23,2002-02-25,95,45
2002,2002-12-06,2003-02-20,2002-10-14,2003-04-10,179,77
2003,2004-01-01,2004-02-12,2003-12-17,2004-03-10,85,43
2004,2004-12-14,2005-03-06,2004-11-19,2005-03-15,117,83
2005,2005-12-26,2006-03-18,2005-11-26,2006-03-22,117,83
2006,2007-01-24,2007-02-10,2006-12-29,2007-03-23,85,18
2007,2007-12-16,2008-01-04,2007-11-12,2008-03-22,132,20
2008,2008-12-28,2009-02-21,2008-11-22,2009-02-23,94,56
2009,2009-12-13,2010-03-11,2009-12-13,2010-03-16,94,89
2010,2010-11-27,2011-02-23,2010-12-02,2011-01-24,54,89
2011,2012-01-25,2012-02-13,2012-01-20,2012-02-16,28,20
2012,2012-11-15,2013-03-23,2012-12-04,2013-04-07,125,129
2013,2014-01-20,2014-01-30,2013-12-06,2014-02-04,61,11
2014,2014-11-29,2015-02-06,2014-12-26,2015-03-31,96,70
2015,2016-01-03,2016-01-22,2015-11-29,2016-02-18,82,20
2016,2016-12-04,2017-02-11,2017-01-02,2017-02-04,34,70
2017,2018-02-25,2018-03-17,2017-12-10,2018-03-21,102,21
2018,2019-01-21,2019-01-25,2019-01-26,2019-02-04,10,5
2020,2021-01-16,2021-02-14,2021-01-04,2021-02-18,46,30
2021,2021-12-09,2022-01-11,2021-12-05,2022-01-21,48,34
2022,2022-11-21,2023-02-06,2022-11-20,2023-03-12,113,78
2023,2023-11-28,2024-01-18,2023-11-28,2024-01-22,56,52
2024,2024-12-28,2025-02-13,2025-01-10,2025-02-21,43,48
2025,2025-11-23,2025-11-23,2025-11-24,2025-11-24,1,1
